id,sender_id,receiver_id,amount,start_time,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee
0,2050,2051,972,120,517,0,1,0,0,0,1,39682-40085,1026
1,2050,2051,332,125,524,0,1,0,0,0,1,39682-40085,1026
2,2050,2051,581,222,624,0,1,0,0,0,1,39682-40085,1026
3,2050,2051,271,363,761,0,1,0,0,0,1,39682-40085,1026
4,2050,2051,373,553,948,0,1,0,0,0,1,39682-40085,1026
5,2050,2051,347,570,967,0,1,0,0,0,1,39682-40085,1026
6,2050,2051,365,576,973,0,1,0,0,0,1,39682-40085,1026
7,2050,2051,499,576,976,0,1,0,0,0,1,39682-40085,1026
8,2050,2051,1553,593,991,0,1,0,0,0,1,39682-40085,1026
9,2050,2051,561,663,1059,0,1,0,0,0,1,39682-40085,1026
10,2050,2051,274,668,1067,0,1,0,0,0,1,39682-40085,1026
11,2050,2051,658,814,1216,0,1,0,0,0,1,39682-40085,1026
12,2050,2051,1385,976,1370,0,1,0,0,0,1,39682-40085,1026
13,2050,2051,862,989,1389,0,1,0,0,0,1,39682-40085,1026
14,2050,2051,802,1066,1467,0,1,0,0,0,1,39682-40085,1026
15,2050,2051,611,1716,2113,0,1,0,0,0,1,39682-40085,1026
16,2050,2051,1269,1906,2304,0,1,0,0,0,1,39682-40085,1026
17,2050,2051,1442,1932,2330,0,1,0,0,0,1,39682-40085,1026
18,2050,2051,1068,1962,2359,0,1,0,0,0,1,39682-40085,1026
19,2050,2051,244,2015,2413,0,1,0,0,0,1,39682-40085,1026
20,2050,2051,732,2029,2425,0,1,0,0,0,1,39682-40085,1026
21,2050,2051,752,2198,2593,0,1,0,0,0,1,39682-40085,1026
22,2050,2051,1370,2244,2639,0,1,0,0,0,1,39682-40085,1026
23,2050,2051,782,2337,2737,0,1,0,0,0,1,39682-40085,1026
24,2050,2051,619,2522,2919,0,1,0,0,0,1,39682-40085,1026
25,2050,2051,1383,2587,2986,0,1,0,0,0,1,39682-40085,1026
26,2050,2051,954,2620,3019,0,1,0,0,0,1,39682-40085,1026
27,2050,2051,402,2925,3323,0,1,0,0,0,1,39682-40085,1026
28,2050,2051,2133,3484,3885,0,1,0,0,0,1,39682-40085,1026
29,2050,2051,1300,3510,3909,0,1,0,0,0,1,39682-40085,1026
30,2050,2051,868,3591,3990,0,1,0,0,0,1,39682-40085,1026
31,2050,2051,268,3651,4049,0,1,0,0,0,1,39682-40085,1026
32,2050,2051,1139,3710,4110,0,1,0,0,0,1,39682-40085,1026
33,2050,2051,248,3735,4134,0,1,0,0,0,1,39682-40085,1026
34,2050,2051,1163,3805,4203,0,1,0,0,0,1,39682-40085,1026
35,2050,2051,1881,4096,4489,0,1,0,0,0,1,39682-40085,1026
36,2050,2051,1140,4246,4643,0,1,0,0,0,1,39682-40085,1026
37,2050,2051,1566,4250,4647,0,1,0,0,0,1,39682-40085,1026
38,2050,2051,721,4386,4782,0,1,0,0,0,1,39682-40085,1026
39,2050,2051,204,4458,4858,0,1,0,0,0,1,39682-40085,1026
40,2050,2051,476,4491,4885,0,1,0,0,0,1,39682-40085,1026
41,2050,2051,1131,4584,4985,0,1,0,0,0,1,39682-40085,1026
42,2050,2051,217,4642,5045,0,1,0,0,0,1,39682-40085,1026
43,2050,2051,1716,4794,5189,0,1,0,0,0,1,39682-40085,1026
44,2050,2051,849,5111,5507,0,1,0,0,0,1,39682-40085,1026
45,2050,2051,781,5202,5600,0,1,0,0,0,1,39682-40085,1026
46,2050,2051,1526,5204,5601,0,1,0,0,0,1,39682-40085,1026
47,2050,2051,1276,5246,5644,0,1,0,0,0,1,39682-40085,1026
48,2050,2051,1154,5246,5644,0,1,0,0,0,1,39682-40085,1026
49,2050,2051,30,5348,5743,0,1,0,0,0,1,39682-40085,1026
50,2050,2051,77,5434,5833,0,1,0,0,0,1,39682-40085,1026
51,2050,2051,481,5460,5853,0,1,0,0,0,1,39682-40085,1026
