id,sender_id,receiver_id,amount,start_time
0,2050,2051,972,120
1,2050,2051,332,125
2,2050,2051,581,222
3,2050,2051,271,363
4,2050,2051,373,553
5,2050,2051,347,570
6,2050,2051,365,576
7,2050,2051,499,576
8,2050,2051,1553,593
9,2050,2051,561,663
10,2050,2051,274,668
11,2050,2051,658,814
12,2050,2051,1385,976
13,2050,2051,862,989
14,2050,2051,802,1066
15,2050,2051,611,1716
16,2050,2051,1269,1906
17,2050,2051,1442,1932
18,2050,2051,1068,1962
19,2050,2051,244,2015
20,2050,2051,732,2029
21,2050,2051,752,2198
22,2050,2051,1370,2244
23,2050,2051,782,2337
24,2050,2051,619,2522
25,2050,2051,1383,2587
26,2050,2051,954,2620
27,2050,2051,402,2925
28,2050,2051,2133,3484
29,2050,2051,1300,3510
30,2050,2051,868,3591
31,2050,2051,268,3651
32,2050,2051,1139,3710
33,2050,2051,248,3735
34,2050,2051,1163,3805
35,2050,2051,1881,4096
36,2050,2051,1140,4246
37,2050,2051,1566,4250
38,2050,2051,721,4386
39,2050,2051,204,4458
40,2050,2051,476,4491
41,2050,2051,1131,4584
42,2050,2051,217,4642
43,2050,2051,1716,4794
44,2050,2051,849,5111
45,2050,2051,781,5202
46,2050,2051,1526,5204
47,2050,2051,1276,5246
48,2050,2051,1154,5246
49,2050,2051,30,5348
50,2050,2051,77,5434
51,2050,2051,481,5460
52,2050,2051,804,5570
53,2050,2051,62,5704
54,2050,2051,1315,5966
55,2050,2051,2327,6045
56,2050,2051,377,6081
57,2050,2051,618,6372
58,2050,2051,108,6481
59,2050,2051,1385,6522
60,2050,2051,262,6648
61,2050,2051,640,6722
62,2050,2051,465,6796
63,2050,2051,551,6832
64,2050,2051,758,6863
65,2050,2051,645,6875
66,2050,2051,349,6978
67,2050,2051,646,7014
68,2050,2051,98,7145
69,2050,2051,751,7165
70,2050,2051,483,7225
71,2050,2051,1088,7280
72,2050,2051,496,7314
73,2050,2051,350,7316
74,2050,2051,1041,7339
75,2050,2051,308,7382
76,2050,2051,10,7391
77,2050,2051,773,7435
78,2050,2051,842,7474
79,2050,2051,319,7555
80,2050,2051,802,7673
81,2050,2051,1165,7955
82,2050,2051,380,7991
83,2050,2051,2189,8249
84,2050,2051,543,8304
85,2050,2051,945,8372
86,2050,2051,132,8397
87,2050,2051,139,8398
88,2050,2051,1200,8501
89,2050,2051,155,8561
90,2050,2051,173,8661
91,2050,2051,590,8966
92,2050,2051,1414,9040
93,2050,2051,749,9291
94,2050,2051,1072,9337
95,2050,2051,269,9418
96,2050,2051,532,9469
97,2050,2051,292,9493
98,2050,2051,950,9546
99,2050,2051,1793,9811
100,2050,2051,467,9811
101,2050,2051,1000,9964
102,2050,2051,1181,10217
103,2050,2051,2103,10242
104,2050,2051,1053,10552
105,2050,2051,996,10648
106,2050,2051,416,10670
107,2050,2051,523,10975
108,2050,2051,755,11196
109,2050,2051,962,11343
110,2050,2051,1140,11622
111,2050,2051,57,11994
112,2050,2051,40,12019
113,2050,2051,516,12094
114,2050,2051,1593,12100
115,2050,2051,40,12149
116,2050,2051,442,12151
117,2050,2051,175,12215
118,2050,2051,60,12248
119,2050,2051,691,12303
120,2050,2051,256,12438
121,2050,2051,1300,12572
122,2050,2051,1300,12755
123,2050,2051,702,12778
124,2050,2051,918,12842
125,2050,2051,977,12992
126,2050,2051,886,13655
127,2050,2051,827,13863
128,2050,2051,859,14018
129,2050,2051,605,14178
130,2050,2051,248,14228
131,2050,2051,850,14270
132,2050,2051,907,14434
133,2050,2051,785,14605
134,2050,2051,73,14625
135,2050,2051,225,14635
136,2050,2051,376,14639
137,2050,2051,661,14657
138,2050,2051,712,14737
139,2050,2051,116,14738
140,2050,2051,199,14852
141,2050,2051,1055,14866
142,2050,2051,2072,14954
143,2050,2051,1709,15107
144,2050,2051,400,15353
145,2050,2051,1577,15463
146,2050,2051,317,15531
147,2050,2051,1500,15845
148,2050,2051,931,16065
149,2050,2051,710,16069
150,2050,2051,1589,16075
151,2050,2051,620,16431
152,2050,2051,182,16448
153,2050,2051,2252,16527
154,2050,2051,925,16555
155,2050,2051,624,16577
156,2050,2051,738,16722
157,2050,2051,447,16742
158,2050,2051,799,16824
159,2050,2051,638,16833
160,2050,2051,784,16836
161,2050,2051,98,17050
162,2050,2051,269,17592
163,2050,2051,883,17592
164,2050,2051,227,17667
165,2050,2051,1781,17946
166,2050,2051,714,17985
167,2050,2051,748,17992
168,2050,2051,785,18445
169,2050,2051,1194,18580
170,2050,2051,659,18678
171,2050,2051,72,18719
172,2050,2051,215,18723
173,2050,2051,630,18865
174,2050,2051,1093,18950
175,2050,2051,1045,18959
176,2050,2051,415,19051
177,2050,2051,35,19164
178,2050,2051,2983,19398
179,2050,2051,1748,19466
180,2050,2051,315,19593
181,2050,2051,264,19619
182,2050,2051,254,19932
183,2050,2051,1796,19989
184,2050,2051,815,20129
185,2050,2051,1745,20168
186,2050,2051,767,20287
187,2050,2051,1645,20581
188,2050,2051,1688,20683
189,2050,2051,3021,20819
190,2050,2051,57,20882
191,2050,2051,1233,20883
192,2050,2051,26,20941
193,2050,2051,151,20958
194,2050,2051,1520,20981
195,2050,2051,747,21018
196,2050,2051,1761,21072
197,2050,2051,663,21134
198,2050,2051,575,21163
199,2050,2051,1203,21216
200,2050,2051,258,21293
201,2050,2051,1672,21405
202,2050,2051,856,21673
203,2050,2051,329,21824
204,2050,2051,850,21909
205,2050,2051,707,21946
206,2050,2051,250,22119
207,2050,2051,770,22150
208,2050,2051,1912,22276
209,2050,2051,814,22473
210,2050,2051,1775,22492
211,2050,2051,428,23041
212,2050,2051,203,23126
213,2050,2051,1025,23580
214,2050,2051,1252,23648
215,2050,2051,558,23795
216,2050,2051,1196,24130
217,2050,2051,282,24140
218,2050,2051,347,24381
219,2050,2051,1049,24393
220,2050,2051,660,24505
221,2050,2051,109,24604
222,2050,2051,1568,24648
223,2050,2051,415,25042
224,2050,2051,435,25098
225,2050,2051,222,25161
226,2050,2051,964,25245
227,2050,2051,1165,25337
228,2050,2051,374,25469
229,2050,2051,956,25784
230,2050,2051,245,25900
231,2050,2051,1319,25943
232,2050,2051,211,26179
233,2050,2051,854,26194
234,2050,2051,382,26229
235,2050,2051,360,26261
236,2050,2051,71,26451
237,2050,2051,1122,26542
238,2050,2051,482,26626
239,2050,2051,130,26762
240,2050,2051,99,26825
241,2050,2051,1688,26906
242,2050,2051,173,26990
243,2050,2051,1152,27122
244,2050,2051,907,27122
245,2050,2051,133,27155
246,2050,2051,1160,27284
247,2050,2051,1983,27343
248,2050,2051,1069,27450
249,2050,2051,673,27657
250,2050,2051,550,27693
251,2050,2051,1299,27711
252,2050,2051,1595,27769
253,2050,2051,519,27792
254,2050,2051,1437,28047
255,2050,2051,85,28225
256,2050,2051,450,28313
257,2050,2051,522,28333
258,2050,2051,1107,28407
259,2050,2051,1591,28407
260,2050,2051,288,28435
261,2050,2051,1281,28499
262,2050,2051,1433,28588
263,2050,2051,2218,28830
264,2050,2051,192,28888
265,2050,2051,1231,28974
266,2050,2051,581,28988
267,2050,2051,303,29096
268,2050,2051,1575,29139
269,2050,2051,1003,29276
270,2050,2051,875,29355
271,2050,2051,1351,29580
272,2050,2051,2303,29793
273,2050,2051,94,29979
274,2050,2051,137,30000
275,2050,2051,2137,30015
276,2050,2051,1812,30046
277,2050,2051,1056,30077
278,2050,2051,2132,30107
279,2050,2051,1062,30281
280,2050,2051,1200,30755
281,2050,2051,1043,30978
282,2050,2051,194,31044
283,2050,2051,863,31134
284,2050,2051,674,31164
285,2050,2051,1370,31270
286,2050,2051,473,31319
287,2050,2051,1128,31347
288,2050,2051,94,31500
289,2050,2051,649,31534
290,2050,2051,40,31651
291,2050,2051,796,32133
292,2050,2051,1139,32139
293,2050,2051,583,32451
294,2050,2051,1335,32636
295,2050,2051,1120,32680
296,2050,2051,1064,32818
297,2050,2051,385,33052
298,2050,2051,727,33121
299,2050,2051,14,33150
300,2050,2051,195,33169
301,2050,2051,549,33552
302,2050,2051,1633,33628
303,2050,2051,857,33794
304,2050,2051,524,33818
305,2050,2051,494,33890
306,2050,2051,1440,34055
307,2050,2051,584,34075
308,2050,2051,659,34130
309,2050,2051,1157,34176
310,2050,2051,2149,34227
311,2050,2051,699,34341
312,2050,2051,301,34555
313,2050,2051,440,34687
314,2050,2051,2042,34712
315,2050,2051,112,34938
316,2050,2051,1914,34970
317,2050,2051,580,35036
318,2050,2051,293,35116
319,2050,2051,647,35237
320,2050,2051,590,35258
321,2050,2051,1991,35265
322,2050,2051,863,35336
323,2050,2051,323,35344
324,2050,2051,2097,35370
325,2050,2051,30,35421
326,2050,2051,2887,35512
327,2050,2051,166,35696
328,2050,2051,2767,35723
329,2050,2051,923,35743
330,2050,2051,494,35810
